column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14
4964893463,1,2020.05.04,911,GD 신규경상 소비,100585,"알루미늄절연전선,ACSR/AW-TR/OC,160MM2",8510,0110,541320185033 ,-24,M,-74022,N1
4964893464,2,2020.05.04,911,GD 신규경상 소비,101864,"암타이및랙크밴드,1방4호,220MM,283MM",8510,0110,549320203564 ,-1,EA,-2891,N1
4964893464,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203564 ,-2,EA,-8924,N1
4964893465,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203786 ,-3,EA,-9702,N1
4964893465,1,2020.05.04,911,GD 신규경상 소비,120687,"분기슬리브,BSC-1GW,CU25MM2,CU35MM2",8510,0110,549320203786 ,-1,EA,-3022,N1
4964893466,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203712 ,-6,EA,-19404,N1
4964893466,3,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320203712 ,-2,EA,-11516,N1
4964893466,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203712 ,-1,SET,-32461,N1
4964893467,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203668 ,-1,SET,-32461,N1
4964893468,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203842 ,-2,EA,-6468,N1
4964893468,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203842 ,-1,EA,-4462,N1
4964893469,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203678 ,-1,SET,-32461,N1
4964893470,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203821 ,-2,EA,-6468,N1
4964893470,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203821 ,-5,EA,-22311,N1
4964893471,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203720 ,-3,EA,-13387,N1
4964893472,1,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203759 ,-2,EA,-6468,N1
4964893473,3,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203806 ,-3,EA,-9702,N1
4964893473,4,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320203806 ,-6,EA,-34548,N1
4964893473,2,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203806 ,-3,EA,-13387,N1
4964893473,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203806 ,-1,SET,-32461,N1
4964893474,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203485 ,-2,EA,-8924,N1
4964893475,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203739 ,-1,EA,-3234,N1
4964893475,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203739 ,-1,SET,-32461,N1
4964893476,1,2020.05.04,911,GD 신규경상 소비,100630,"옥외용비닐절연전선,OW,150MM2,19EA,3.2MM",8510,0110,541320203306 ,-3,M,-25398,N1
4964893476,4,2020.05.04,911,GD 신규경상 소비,101619,"인장클램프,WDA-2,ACSR 95MM2,쇄기형",8510,0110,541320203306 ,-4,EA,-22935,N1
4964893476,3,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,541320203306 ,-1,EA,-4462,N1
4964893476,2,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,541320203306 ,-1,SET,-32461,N1
4964893477,1,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320195054 ,-2,EA,-6468,N1
4964893478,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203451 ,-2,SET,-64921,N1
4964893479,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203629 ,-1,SET,-32461,N1
4964893480,1,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203801 ,-4,EA,-12936,N1
